neighborhood code,neighborhood name,district name,average monthly rent,total population,female life expectancy,male life expectancy,birth rate,mortality rate,immigration rate,most common age range immigrants,most common immigrant origin,emigration rate,most common age range emigrants,unemployment rate,month most unemployment,number bus stops,number public transport stops,number car accidents,most common car accident day
22,"Vallvidrera, el Tibidabo i les Planes",Sarrià-Sant Gervasi,1248,4670,82.2,79,17.9871520342612,10.0642398286938,4.00428265524625,35-39,France,3.06209850107066,30-34,3.1960293162631,March,118,4,26,Friday
23,"Sarrià",Sarrià-Sant Gervasi,1291.5,25032,86.9,81.7,19.1355065516139,9.86736976669863,4.82582294662832,25-29,Italy,2.78443592201981,30-34,3.28755953373733,February,80,10,189,Wednesday
24,"les Tres Torres",Sarrià-Sant Gervasi,1516.52,16667,88.1,83.9,16.8596628067439,8.75982480350393,4.21191576168477,30-34,United States,2.42995140097198,35-39,3.67679436371642,March,30,9,161,Tuesday
25,"Sant Gervasi - la Bonanova",Sarrià-Sant Gervasi,1182.12,25774,86.8,82.5,17.5370528439513,9.81609373787538,4.58213703732444,25-29,China,2.45596337394273,30-34,3.91464963595055,February,83,12,209,Wednesday
26,"Sant Gervasi - Galvany",Sarrià-Sant Gervasi,1268.61,47666,86.9,81.9,17.5387068350606,9.04208450467839,5.10636512398775,25-29,Italy,2.68115637980951,30-34,3.88777026703102,February,74,20,385,Tuesday
27,"el Putxet i el Farró",Sarrià-Sant Gervasi,913.45,29470,87.9,82.5,17.0682049541907,8.07600950118765,5.14082117407533,25-29,Italy,2.98948082796064,30-34,5.61983969143615,January,54,11,134,Thursday
28,"Vallcarca i els Penitents",Gràcia,946.59,15759,86.3,80.9,18.3387270765912,9.96256107621042,4.89878799416207,25-29,Italy,3.10933434862618,35-39,6.99653529666522,January,71,6,150,Friday
29,"el Coll",Gràcia,687.42,7412,88.6,81.4,14.5709660010793,7.6902320561252,5.01888828926066,25-29,Italy,2.7927684835402,25-29,5.99681584999116,January,26,1,23,Thursday
30,"la Salut",Gràcia,841.38,13185,85.7,78.9,18.2025028441411,10.3147516116799,5.55176336746303,25-29,Morocco,2.92756920743269,30-34,7.06538580725132,January,34,0,58,Tuesday
31,"la Vila de Gràcia",Gràcia,837.09,50662,86.1,79.9,18.9491137341597,9.53377284749911,7.08025739212822,25-29,Italy,3.40491887410683,35-39,6.81094247704703,February,43,7,178,Thursday
32,"el Camp d'en Grassot i Gràcia Nova",Gràcia,839.29,34329,87.4,81.4,18.5266101546797,9.99155233184771,5.21716333129424,25-29,Italy,2.91007602901337,30-34,6.77225737572585,January,36,3,122,Wednesday
33,"el Baix Guinardó",Horta-Guinardó,743.88,25672,86.8,81,20.0218136491119,12.6207541290122,5.00545341227797,25-29,Italy,2.94484263010284,25-29,7.12710593631472,February,25,4,111,Tuesday
34,"Can Baró",Horta-Guinardó,637.3,8994,86.6,81.1,20.3468979319546,11.5632643984879,5.25906159661997,25-29,Italy,3.22437180342451,30-34,7.29539133889551,February,22,0,15,Monday
